hypothesis,budget,threshold,episodes,map_accuracy,map_accuracy_ci_lower,map_accuracy_ci_upper,success_at_threshold,success_ci_lower,success_ci_upper,mean_experiments,median_experiments,stddev_experiments,mean_true_posterior,median_true_posterior,p10_true_posterior,p25_true_posterior,p75_true_posterior,p90_true_posterior,threshold_reached_fraction,budget_exhausted_fraction,cumulative_action_regret,mean_episode_action_regret,mean_action_regret,first_repeat_trial_frequency,first_use_trusted_sensor_frequency,first_change_context_frequency,overall_repeat_trial_frequency,overall_use_trusted_sensor_frequency,overall_change_context_frequency,mean_repeat_trials,mean_trusted_sensor_uses,mean_context_changes
SENSOR_CORRUPTION,1,0.95,1000,0.884,0.8626667265227275,0.9023943229603661,0.0,2.168404344971009e-19,0.0038267584855551234,1,1.0,0.0,0.6267549886063567,0.7019038845386151,0.05406857477776692,0.7019038845386151,0.7019038845386151,0.7019038845386151,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0
MISSING_LATENT_VARIABLE,1,0.95,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.0,2.168404344971009e-19,0.0038267584855551234,1,1.0,0.0,0.42891115297976873,0.4683501025691121,0.08912943344081067,0.4683501025691121,0.4683501025691121,0.468350102569112,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0
NO_STRUCTURAL_CHANGE,2,0.8,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.0,2.168404344971009e-19,0.0038267584855551234,2,2.0,0.0,0.11849145379360697,0.14210106927989954,0.01633436507617478,0.14210106927989954,0.14210106927989954,0.14210106927989954,0.881,0.119,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.942,0.058,0,1.884,0.116
WORLD_SHIFT,2,0.8,1000,0.858,0.8349940829788968,0.8782659579454458,0.0,2.168404344971009e-19,0.0038267584855551234,2,2.0,0.0,0.645448744651026,0.7836532613653642,0.13490975599951766,0.7836532613653642,0.7836532613653642,0.7836532613653642,0.142,0.858,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.552,0.448,0,1.104,0.896
SENSOR_CORRUPTION,2,0.8,1000,0.787,0.7605503974702781,0.8112530431590133,0.787,0.7605503974702781,0.8112530431590133,2,2.0,0.0,0.6933194274877885,0.8323062629251259,0.08626083320662917,0.8323062629251259,0.8323062629251259,0.8323062629251259,0.808,0.192,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.942,0.058,0,1.884,0.116
MISSING_LATENT_VARIABLE,2,0.8,1000,0.76,0.7325666107750539,0.7854434748124575,0.76,0.7325666107750539,0.7854434748124575,2,2.0,0.0,0.6787100902090458,0.8287313582827511,0.12757146115250118,0.8287313582827511,0.8287313582827511,0.8287313582827511,0.766,0.234,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.552,0.448,0,1.104,0.896
NO_STRUCTURAL_CHANGE,2,0.9,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.0,2.168404344971009e-19,0.0038267584855551234,2,2.0,0.0,0.11849145379360697,0.14210106927989954,0.01633436507617478,0.14210106927989954,0.14210106927989954,0.14210106927989954,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.942,0.058,0,1.884,0.116
WORLD_SHIFT,2,0.9,1000,0.858,0.8349940829788968,0.8782659579454458,0.0,2.168404344971009e-19,0.0038267584855551234,2,2.0,0.0,0.645448744651026,0.7836532613653642,0.13490975599951766,0.7836532613653642,0.7836532613653642,0.7836532613653642,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.552,0.448,0,1.104,0.896
SENSOR_CORRUPTION,2,0.9,1000,0.787,0.7605503974702781,0.8112530431590133,0.0,2.168404344971009e-19,0.0038267584855551234,2,2.0,0.0,0.6933194274877885,0.8323062629251259,0.08626083320662917,0.8323062629251259,0.8323062629251259,0.8323062629251259,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.942,0.058,0,1.884,0.116
MISSING_LATENT_VARIABLE,2,0.9,1000,0.76,0.7325666107750539,0.7854434748124575,0.0,2.168404344971009e-19,0.0038267584855551234,2,2.0,0.0,0.6787100902090458,0.8287313582827511,0.12757146115250118,0.8287313582827511,0.8287313582827511,0.8287313582827511,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.552,0.448,0,1.104,0.896
