hypothesis,budget,threshold,episodes,map_accuracy,map_accuracy_ci_lower,map_accuracy_ci_upper,success_at_threshold,success_ci_lower,success_ci_upper,mean_experiments,median_experiments,stddev_experiments,mean_true_posterior,median_true_posterior,p10_true_posterior,p25_true_posterior,p75_true_posterior,p90_true_posterior,threshold_reached_fraction,budget_exhausted_fraction,cumulative_action_regret,mean_episode_action_regret,mean_action_regret,first_repeat_trial_frequency,first_use_trusted_sensor_frequency,first_change_context_frequency,overall_repeat_trial_frequency,overall_use_trusted_sensor_frequency,overall_change_context_frequency,mean_repeat_trials,mean_trusted_sensor_uses,mean_context_changes
MISSING_LATENT_VARIABLE,2,0.8,1000,0.76,0.7325666107750539,0.7854434748124575,0.76,0.7325666107750539,0.7854434748124575,2,2.0,0.0,0.6628805335970911,0.831518107736678,0.13263688952110006,0.831518107736678,0.831518107736678,0.831518107736678,0.91,0.09,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0,1,1
NO_STRUCTURAL_CHANGE,2,0.9,1000,0.841,0.8170364534597756,0.8623536972530759,0.0,2.168404344971009e-19,0.0038267584855551234,2,2.0,0.0,0.5211954791109779,0.6130881603023668,0.042674888115365524,0.6130881603023668,0.6130881603023668,0.6130881603023668,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0,1,1
WORLD_SHIFT,2,0.9,1000,0.774,0.7470576210232625,0.7988453153266535,0.0,2.168404344971009e-19,0.0038267584855551234,2,2.0,0.0,0.6561955227008693,0.8147694642010431,0.10345658876181,0.8147694642010431,0.8147694642010431,0.8147694642010431,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0,1,1
SENSOR_CORRUPTION,2,0.9,1000,0.805,0.77929577121571,0.8283699061081016,0.0,2.168404344971009e-19,0.0038267584855551234,2,2.0,0.0,0.7038222830463188,0.837026752859274,0.20549179590245076,0.837026752859274,0.837026752859274,0.837026752859274,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0,1,1
MISSING_LATENT_VARIABLE,2,0.9,1000,0.76,0.7325666107750539,0.7854434748124575,0.0,2.168404344971009e-19,0.0038267584855551234,2,2.0,0.0,0.6628805335970911,0.831518107736678,0.13263688952110006,0.831518107736678,0.831518107736678,0.831518107736678,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0,1,1
NO_STRUCTURAL_CHANGE,2,0.95,1000,0.841,0.8170364534597756,0.8623536972530759,0.0,2.168404344971009e-19,0.0038267584855551234,2,2.0,0.0,0.5211954791109779,0.6130881603023668,0.042674888115365524,0.6130881603023668,0.6130881603023668,0.6130881603023668,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0,1,1
WORLD_SHIFT,2,0.95,1000,0.774,0.7470576210232625,0.7988453153266535,0.0,2.168404344971009e-19,0.0038267584855551234,2,2.0,0.0,0.6561955227008693,0.8147694642010431,0.10345658876181,0.8147694642010431,0.8147694642010431,0.8147694642010431,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0,1,1
SENSOR_CORRUPTION,2,0.95,1000,0.805,0.77929577121571,0.8283699061081016,0.0,2.168404344971009e-19,0.0038267584855551234,2,2.0,0.0,0.7038222830463188,0.837026752859274,0.20549179590245076,0.837026752859274,0.837026752859274,0.837026752859274,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0,1,1
MISSING_LATENT_VARIABLE,2,0.95,1000,0.76,0.7325666107750539,0.7854434748124575,0.0,2.168404344971009e-19,0.0038267584855551234,2,2.0,0.0,0.6628805335970911,0.831518107736678,0.13263688952110006,0.831518107736678,0.831518107736678,0.831518107736678,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0,1,1
NO_STRUCTURAL_CHANGE,3,0.8,1000,0.749,0.7212080850643917,0.7748861892098019,0.749,0.7212080850643917,0.7748861892098019,2.841,3.0,0.36567608617463626,0.7016744644743426,0.9110565667203271,0.042674888115365524,0.14896477939271902,0.9110565667203271,0.9110565667203271,0.908,0.092,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3519887363604365,0.6480112636395635,0,1,1.841
WORLD_SHIFT,3,0.8,1000,0.774,0.7470576210232625,0.7988453153266535,0.774,0.7470576210232625,0.7988453153266535,2.017,2.0,0.12927103310486848,0.6565133578180119,0.8147694642010431,0.10345658876181,0.8147694642010431,0.8147694642010431,0.8147694642010431,0.987,0.013,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.495785820525533,0.504214179474467,0,1,1.017
SENSOR_CORRUPTION,3,0.8,1000,0.925,0.9069990602607456,0.9397481950265327,0.805,0.77929577121571,0.8283699061081016,2.133,2.0,0.33957473404244903,0.7313449218921436,0.837026752859274,0.45199122362214517,0.837026752859274,0.837026752859274,0.837026752859274,0.88,0.12,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.46882325363338023,0.5311767463666198,0,1,1.133
MISSING_LATENT_VARIABLE,3,0.8,1000,0.76,0.7325666107750539,0.7854434748124575,0.76,0.7325666107750539,0.7854434748124575,2.09,2.0,0.2861817604250837,0.6748076416698047,0.831518107736678,0.13263688952110006,0.831518107736678,0.831518107736678,0.831518107736678,0.926,0.074,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4784688995215311,0.5215311004784688,0,1,1.09
NO_STRUCTURAL_CHANGE,3,0.9,1000,0.749,0.7212080850643917,0.7748861892098019,0.749,0.7212080850643917,0.7748861892098019,3,3.0,0.0,0.7021548750193352,0.9110565667203271,0.04702258234617529,0.14896477939271902,0.9110565667203271,0.9110565667203271,0.896,0.104,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3863333333333333,0.6136666666666667,0,1.159,1.841
WORLD_SHIFT,3,0.9,1000,0.888,0.8669499763240903,0.906080459091119,0.696,0.6667851800100445,0.7237147306636179,3,3.0,0.0,0.8225988688242203,0.9765818888044564,0.3440025373523334,0.6320573909429968,0.9765818888044564,0.9765818888044564,0.717,0.283,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.661,0.339,0,1.983,1.017
SENSOR_CORRUPTION,3,0.9,1000,0.869,0.8466683584396694,0.888507493797991,0.749,0.7212080850643917,0.7748861892098019,3,3.0,0.0,0.7735430188091604,0.9223025800530513,0.33823991457053265,0.45199122362214517,0.9223025800530513,0.9223025800530513,0.775,0.225,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6223333333333333,0.37766666666666665,0,1.867,1.133
MISSING_LATENT_VARIABLE,3,0.9,1000,0.767,0.7398071302206757,0.792149380748038,0.658,0.6280436431236505,0.6867471011949142,3,3.0,0.0,0.7399599887097048,0.9418617646111187,0.34317783740721675,0.4625219300663157,0.9418617646111187,0.9418617646111187,0.711,0.289,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6366666666666667,0.36333333333333334,0,1.91,1.09
NO_STRUCTURAL_CHANGE,3,0.95,1000,0.749,0.7212080850643917,0.7748861892098019,0.0,2.168404344971009e-19,0.0038267584855551234,3,3.0,0.0,0.7021548750193352,0.9110565667203271,0.04702258234617529,0.14896477939271902,0.9110565667203271,0.9110565667203271,0.001,0.999,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3863333333333333,0.6136666666666667,0,1.159,1.841
WORLD_SHIFT,3,0.95,1000,0.888,0.8669499763240903,0.906080459091119,0.696,0.6667851800100445,0.7237147306636179,3,3.0,0.0,0.8225988688242203,0.9765818888044564,0.3440025373523334,0.6320573909429968,0.9765818888044564,0.9765818888044564,0.696,0.304,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.661,0.339,0,1.983,1.017
SENSOR_CORRUPTION,3,0.95,1000,0.869,0.8466683584396694,0.888507493797991,0.0,2.168404344971009e-19,0.0038267584855551234,3,3.0,0.0,0.7735430188091604,0.9223025800530513,0.33823991457053265,0.45199122362214517,0.9223025800530513,0.9223025800530513,0.004,0.996,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6223333333333333,0.37766666666666665,0,1.867,1.133
MISSING_LATENT_VARIABLE,3,0.95,1000,0.767,0.7398071302206757,0.792149380748038,0.0,2.168404344971009e-19,0.0038267584855551234,3,3.0,0.0,0.7399599887097048,0.9418617646111187,0.34317783740721675,0.4625219300663157,0.9418617646111187,0.9418617646111187,0.015,0.985,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6366666666666667,0.36333333333333334,0,1.91,1.09
NO_STRUCTURAL_CHANGE,5,0.8,1000,0.827,0.8023165344033985,0.8491807655470485,0.749,0.7212080850643917,0.7748861892098019,3.025,3.0,0.7255170570014188,0.7335551490842797,0.9110565667203271,0.042674888115365524,0.5789389745147219,0.9110565667203271,0.9110565667203271,0.921,0.079,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3609917355371901,0.6390082644628099,0,1.092,1.933
WORLD_SHIFT,5,0.8,1000,0.78,0.7532805086371258,0.8045765066109635,0.774,0.7470576210232625,0.7988453153266535,2.043,2.0,0.34518256039377193,0.6582747340159997,0.8147694642010431,0.10345658876181,0.8147694642010431,0.8147694642010431,0.8147694642010431,0.994,0.006,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.49583945178658834,0.5041605482134116,0,1.013,1.03
SENSOR_CORRUPTION,5,0.8,1000,0.904,0.8841648792420682,0.9207430999016033,0.904,0.8841648792420682,0.9207430999016033,2.373,2.0,0.9766631968083982,0.7755406520676764,0.837026752859274,0.837026752859274,0.837026752859274,0.837026752859274,0.837026752859274,0.979,0.021,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.471976401179941,0.528023598820059,0,1.12,1.253
MISSING_LATENT_VARIABLE,5,0.8,1000,0.81,0.7845166798033586,0.8331107299355974,0.81,0.7845166798033586,0.8331107299355974,2.238,2.0,0.7907945371586731,0.701297058701365,0.831518107736678,0.13263688952110006,0.831518107736678,0.831518107736678,0.831518107736678,0.978,0.022,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.47989276139410186,0.5201072386058981,0,1.074,1.164
NO_STRUCTURAL_CHANGE,5,0.9,1000,0.827,0.8023165344033985,0.8491807655470485,0.749,0.7212080850643917,0.7748861892098019,3.206,3.0,0.6062705666614535,0.7341630302016633,0.9110565667203271,0.04702258234617529,0.5789389745147219,0.9110565667203271,0.9110565667203271,0.919,0.081,0.0,0.0,0.0,0.0,1.0,0.0,0.0009357454772301934,0.39613225202744856,0.6029320024953213,0.003,1.27,1.933
WORLD_SHIFT,5,0.9,1000,0.961,0.9471306895804986,0.9713410390958196,0.93,0.9124853518487167,0.9442236358537061,3.401,3.0,0.6900717354014726,0.9239265880682556,0.9765818888044564,0.9164883644521099,0.9765818888044564,0.9765818888044564,0.9765818888044564,0.961,0.039,0.0,0.0,0.0,0.0,1.0,0.0,0.001470155836518671,0.6956777418406351,0.3028521023228462,0.005,2.366,1.03
SENSOR_CORRUPTION,5,0.9,1000,0.931,0.9135852797713628,0.9451160544140889,0.897,0.8766163637675564,0.9143451899949129,3.445,3.0,0.828839550214636,0.8568501411688315,0.9223025800530513,0.6219633788701429,0.9223025800530513,0.9223025800530513,0.9223025800530513,0.941,0.059,0.0,0.0,0.0,0.0,1.0,0.0,0.013062409288824383,0.62322206095791,0.3637155297532656,0.045,2.147,1.253
MISSING_LATENT_VARIABLE,5,0.9,1000,0.873,0.8509252474282143,0.8922199907415616,0.862,0.8392340001264323,0.8819954267300257,3.562,3.0,0.8900314601181242,0.8323201648983389,0.9418617646111187,0.24114150723652134,0.9337974683085676,0.9418617646111187,0.9418617646111187,0.938,0.062,0.0,0.0,0.0,0.0,1.0,0.0,0.027231892195395846,0.6459854014598541,0.32678270634475015,0.097,2.301,1.164
NO_STRUCTURAL_CHANGE,5,0.95,1000,0.943,0.9268629323405141,0.9557465596412841,0.684,0.6545273749814833,0.7120643778958327,4.306,4.0,0.46299460040047985,0.8426722529675114,0.9851222204824247,0.5513093152466073,0.6145660549558922,0.9851222204824247,0.9851222204824248,0.701,0.299,0.0,0.0,0.0,0.0,1.0,0.0,0.23153738968880633,0.30701346957733394,0.46144914073385973,0.997,1.322,1.987
WORLD_SHIFT,5,0.95,1000,0.961,0.9471306895804986,0.9713410390958196,0.918,0.8993527833262955,0.9334480465797805,3.517,3.0,0.8220164231936002,0.9256613466681495,0.9765818888044564,0.961920305661585,0.9765818888044564,0.9765818888044564,0.9783102058602344,0.936,0.064,0.0,0.0,0.0,0.0,1.0,0.0,0.005402331532556156,0.6986067671310776,0.29599090133636624,0.019,2.457,1.041
SENSOR_CORRUPTION,5,0.95,1000,0.93,0.9124853518487167,0.9442236358537061,0.638,0.6077382275254601,0.6672055871325266,4.339,4.0,0.48174578358300135,0.8897914853624428,0.9775910197581547,0.6219633788701429,0.934871731687658,0.9775910197581547,0.9775910197581547,0.659,0.341,0.0,0.0,0.0,0.0,1.0,0.0,0.21433510025351463,0.49481447338096335,0.290850426365522,0.93,2.147,1.262
MISSING_LATENT_VARIABLE,5,0.95,1000,0.865,0.8424178447972049,0.8847886215083399,0.724,0.6954767082717307,0.7508089039267406,4.388,4.0,0.5171614834846076,0.85483584557024,0.9673668402683182,0.35844482580191367,0.9337974683085676,0.9673668402683182,0.9673668402683182,0.747,0.253,0.0,0.0,0.0,0.0,1.0,0.0,0.03851412944393801,0.5462625341841386,0.41522333637192343,0.169,2.397,1.822
NO_STRUCTURAL_CHANGE,8,0.8,1000,0.825,0.800218354614785,0.8472942523696041,0.819,0.7939304685301967,0.841628059556019,3.119,3.0,1.0123433212107442,0.7545266474529856,0.9110565667203271,0.042674888115365524,0.8988682016777219,0.9110565667203271,0.9110565667203271,0.994,0.006,0.0,0.0,0.0,0.0,1.0,0.0,0.0003206155819172812,0.35299775569092656,0.6466816287271562,0.001,1.101,2.017
WORLD_SHIFT,8,0.8,1000,0.78,0.7532805086371258,0.8045765066109635,0.78,0.7532805086371258,0.8045765066109635,2.049,2.0,0.4007480505255141,0.6611084683589032,0.8147694642010431,0.10345658876181,0.8147694642010431,0.8147694642010431,0.8147694642010431,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.49731576378721326,0.5026842362127867,0,1.019,1.03
SENSOR_CORRUPTION,8,0.8,1000,0.92,0.9015335609704976,0.9352519619016361,0.916,0.8971749506177824,0.9316411863222358,2.432,2.0,1.197236818678744,0.7858850910867059,0.837026752859274,0.837026752859274,0.837026752859274,0.837026752859274,0.9391628813987579,0.993,0.007,0.0,0.0,0.0,0.0,1.0,0.0,0.001644736842105263,0.4699835526315789,0.5283717105263158,0.004,1.143,1.285
MISSING_LATENT_VARIABLE,8,0.8,1000,0.826,0.8012673037329014,0.8482376497345165,0.826,0.8012673037329014,0.8482376497345165,2.28,2.0,0.9703607576566563,0.7104992040132445,0.831518107736678,0.13263688952110006,0.831518107736678,0.831518107736678,0.831518107736678,0.998,0.002,0.0,0.0,0.0,0.0,1.0,0.0,0.0030701754385964912,0.48026315789473684,0.5166666666666667,0.007,1.095,1.178
NO_STRUCTURAL_CHANGE,8,0.9,1000,0.823,0.7981212935038732,0.8454066205144583,0.812,0.7866068125887822,0.8350052901162315,3.384,3.0,1.174114134145399,0.7588368838770597,0.9110565667203271,0.04702258234617529,0.9110565667203271,0.9110565667203271,0.9110565667203271,0.985,0.015,0.0,0.0,0.0,0.0,1.0,0.0,0.024822695035460994,0.3791371158392435,0.5960401891252955,0.084,1.283,2.017
WORLD_SHIFT,8,0.9,1000,0.964,0.9505643395327921,0.9738844285926127,0.963,0.9494176025179306,0.9730388191244452,3.468,3.0,0.9093822078752146,0.9355015598800499,0.9765818888044564,0.9164883644521099,0.9765818888044564,0.9765818888044564,0.9765818888044564,0.997,0.003,0.0,0.0,0.0,0.0,1.0,0.0,0.004036908881199538,0.698961937716263,0.29700115340253747,0.014,2.424,1.03
SENSOR_CORRUPTION,8,0.9,1000,0.95,0.9346861797557492,0.9618697376072513,0.935,0.9179944906866292,0.948676229430938,3.594,3.0,1.2325437111924267,0.8771247065389215,0.9223025800530513,0.9019616965115601,0.9223025800530513,0.9223025800530513,0.9391628813987579,0.981,0.019,0.0,0.0,0.0,0.0,1.0,0.0,0.028937117417918753,0.6135225375626043,0.3575403450194769,0.104,2.205,1.285
MISSING_LATENT_VARIABLE,8,0.9,1000,0.911,0.8917426484378812,0.9271117560869926,0.904,0.8841648792420682,0.9207430999016033,3.711,3.0,1.2543839125243914,0.8590905951474433,0.9418617646111187,0.9045364083555689,0.9418617646111187,0.9418617646111187,0.9418617646111187,0.989,0.011,0.0,0.0,0.0,0.0,1.0,0.0,0.041228779304769606,0.6413365669630827,0.3174346537321477,0.153,2.38,1.178
NO_STRUCTURAL_CHANGE,8,0.95,1000,0.954,0.9391877960583809,0.9653375072367351,0.905,0.8852455602057479,0.9216547654209526,4.905,4.0,1.4205544692126382,0.9307086971060725,0.9851222204824247,0.9792884342908375,0.9820910090735839,0.9851222204824247,0.9851222204824248,0.937,0.063,0.0,0.0,0.0,0.0,1.0,0.0,0.2691131498470948,0.2868501529051988,0.44403669724770645,1.32,1.407,2.178
WORLD_SHIFT,8,0.95,1000,0.971,0.9586616416633058,0.9797335518433012,0.959,0.9448520067923587,0.9696350289179017,3.651,3.0,1.1726887907710213,0.9484406719767446,0.9765818888044564,0.961920305661585,0.9765818888044564,0.9765818888044564,0.9832011120843628,0.984,0.016,0.0,0.0,0.0,0.0,1.0,0.0,0.01314708299096138,0.7006299643933169,0.2862229526157217,0.048,2.558,1.045
SENSOR_CORRUPTION,8,0.95,1000,0.963,0.9494176025179306,0.9730388191244452,0.928,0.9102882164172793,0.9424360783190856,4.938,4.0,1.4276400106469418,0.9370354059021873,0.9775910197581547,0.9655915252864609,0.9775910197581547,0.9775910197581547,0.9798957443171005,0.95,0.05,0.0,0.0,0.0,0.0,1.0,0.0,0.2776427703523694,0.4520048602673147,0.2703523693803159,1.371,2.232,1.335
MISSING_LATENT_VARIABLE,8,0.95,1000,0.944,0.927976651850269,0.9566251866145581,0.919,0.9004427979303052,0.9343503784587998,4.89,4.0,1.3601102896456596,0.9138602322846693,0.9673668402683182,0.9579235543596303,0.9641161988259046,0.9673668402683182,0.9673668402683182,0.948,0.052,0.0,0.0,0.0,0.0,1.0,0.0,0.09345603271983641,0.5222903885480572,0.38425357873210636,0.457,2.554,1.879
