hypothesis,budget,threshold,episodes,map_accuracy,map_accuracy_ci_lower,map_accuracy_ci_upper,success_at_threshold,success_ci_lower,success_ci_upper,mean_experiments,median_experiments,stddev_experiments,mean_true_posterior,median_true_posterior,p10_true_posterior,p25_true_posterior,p75_true_posterior,p90_true_posterior,threshold_reached_fraction,budget_exhausted_fraction,cumulative_action_regret,mean_episode_action_regret,mean_action_regret,first_repeat_trial_frequency,first_use_trusted_sensor_frequency,first_change_context_frequency,overall_repeat_trial_frequency,overall_use_trusted_sensor_frequency,overall_change_context_frequency,mean_repeat_trials,mean_trusted_sensor_uses,mean_context_changes
NO_STRUCTURAL_CHANGE,1,0.8,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.0,2.168404344971009e-19,0.0038267584855551234,1,1.0,0.0,0.2541992901407311,0.27010476965028946,0.27010476965028946,0.27010476965028946,0.27010476965028946,0.27010476965028946,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0
WORLD_SHIFT,1,0.8,1000,0.884,0.8626667265227275,0.9023943229603661,0.0,2.168404344971009e-19,0.0038267584855551234,1,1.0,0.0,0.43140459031518896,0.47852243552898804,0.07233411472037506,0.47852243552898804,0.47852243552898804,0.47852243552898804,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0
SENSOR_CORRUPTION,1,0.8,1000,0.938,0.9213119396866343,0.9513358198800193,0.0,2.168404344971009e-19,0.0038267584855551234,1,1.0,0.0,0.5507651286382508,0.5852270009089605,0.5852270009089605,0.5852270009089605,0.5852270009089605,0.5852270009089605,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0
MISSING_LATENT_VARIABLE,1,0.8,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.0,2.168404344971009e-19,0.0038267584855551234,1,1.0,0.0,0.43140459031518896,0.47852243552898804,0.07233411472037506,0.47852243552898804,0.47852243552898804,0.47852243552898804,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0
NO_STRUCTURAL_CHANGE,1,0.9,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.0,2.168404344971009e-19,0.0038267584855551234,1,1.0,0.0,0.2541992901407311,0.27010476965028946,0.27010476965028946,0.27010476965028946,0.27010476965028946,0.27010476965028946,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0
WORLD_SHIFT,1,0.9,1000,0.884,0.8626667265227275,0.9023943229603661,0.0,2.168404344971009e-19,0.0038267584855551234,1,1.0,0.0,0.43140459031518896,0.47852243552898804,0.07233411472037506,0.47852243552898804,0.47852243552898804,0.47852243552898804,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0
SENSOR_CORRUPTION,1,0.9,1000,0.938,0.9213119396866343,0.9513358198800193,0.0,2.168404344971009e-19,0.0038267584855551234,1,1.0,0.0,0.5507651286382508,0.5852270009089605,0.5852270009089605,0.5852270009089605,0.5852270009089605,0.5852270009089605,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0
MISSING_LATENT_VARIABLE,1,0.9,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.0,2.168404344971009e-19,0.0038267584855551234,1,1.0,0.0,0.43140459031518896,0.47852243552898804,0.07233411472037506,0.47852243552898804,0.47852243552898804,0.47852243552898804,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0
NO_STRUCTURAL_CHANGE,1,0.95,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.0,2.168404344971009e-19,0.0038267584855551234,1,1.0,0.0,0.2541992901407311,0.27010476965028946,0.27010476965028946,0.27010476965028946,0.27010476965028946,0.27010476965028946,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0
WORLD_SHIFT,1,0.95,1000,0.884,0.8626667265227275,0.9023943229603661,0.0,2.168404344971009e-19,0.0038267584855551234,1,1.0,0.0,0.43140459031518896,0.47852243552898804,0.07233411472037506,0.47852243552898804,0.47852243552898804,0.47852243552898804,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0
SENSOR_CORRUPTION,1,0.95,1000,0.938,0.9213119396866343,0.9513358198800193,0.0,2.168404344971009e-19,0.0038267584855551234,1,1.0,0.0,0.5507651286382508,0.5852270009089605,0.5852270009089605,0.5852270009089605,0.5852270009089605,0.5852270009089605,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0
MISSING_LATENT_VARIABLE,1,0.95,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.0,2.168404344971009e-19,0.0038267584855551234,1,1.0,0.0,0.43140459031518896,0.47852243552898804,0.07233411472037506,0.47852243552898804,0.47852243552898804,0.47852243552898804,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0
NO_STRUCTURAL_CHANGE,2,0.8,1000,0.841,0.8170364534597756,0.8623536972530759,0.0,2.168404344971009e-19,0.0038267584855551234,2,2.0,0.0,0.5211954791109779,0.6130881603023668,0.042674888115365524,0.6130881603023668,0.6130881603023668,0.6130881603023668,0.159,0.841,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0,1,1
WORLD_SHIFT,2,0.8,1000,0.774,0.7470576210232625,0.7988453153266535,0.774,0.7470576210232625,0.7988453153266535,2,2.0,0.0,0.6561955227008693,0.8147694642010431,0.10345658876181,0.8147694642010431,0.8147694642010431,0.8147694642010431,0.983,0.017,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0,1,1
SENSOR_CORRUPTION,2,0.8,1000,0.805,0.77929577121571,0.8283699061081016,0.805,0.77929577121571,0.8283699061081016,2,2.0,0.0,0.7038222830463188,0.837026752859274,0.20549179590245076,0.837026752859274,0.837026752859274,0.837026752859274,0.867,0.133,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0,1,1
