candidate_id,normal_process_accuracy,shift_process_accuracy,sensor_normal_accuracy,corrupted_sensor_inversion_accuracy,latent_process_accuracy,hypothesis,budget,threshold,episodes,map_accuracy,map_accuracy_ci_lower,map_accuracy_ci_upper,success_at_threshold,success_ci_lower,success_ci_upper,mean_experiments,median_experiments,stddev_experiments,mean_true_posterior,median_true_posterior,p10_true_posterior,p25_true_posterior,p75_true_posterior,p90_true_posterior,threshold_reached_fraction,budget_exhausted_fraction
v1_baseline,0.9,0.9,0.95,0.9,0.9,NO_STRUCTURAL_CHANGE,1,0.8,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.0,2.168404344971009e-19,0.0038267584855551234,1,1.0,0.0,0.10700694927425604,0.11983724857976356,0.009231220084008987,0.11983724857976356,0.11983724857976356,0.11983724857976356,0,1
v1_baseline,0.9,0.9,0.95,0.9,0.9,WORLD_SHIFT,1,0.8,1000,0.896,0.8755402353777084,0.9134289719017319,0.0,2.168404344971009e-19,0.0038267584855551234,1,1.0,0.0,0.42891115297976873,0.4683501025691121,0.08912943344081067,0.4683501025691121,0.4683501025691121,0.468350102569112,0,1
v1_baseline,0.9,0.9,0.95,0.9,0.9,SENSOR_CORRUPTION,1,0.8,1000,0.884,0.8626667265227275,0.9023943229603661,0.0,2.168404344971009e-19,0.0038267584855551234,1,1.0,0.0,0.6267549886063567,0.7019038845386151,0.05406857477776692,0.7019038845386151,0.7019038845386151,0.7019038845386151,0,1
v1_baseline,0.9,0.9,0.95,0.9,0.9,MISSING_LATENT_VARIABLE,1,0.8,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.0,2.168404344971009e-19,0.0038267584855551234,1,1.0,0.0,0.42891115297976873,0.4683501025691121,0.08912943344081067,0.4683501025691121,0.4683501025691121,0.468350102569112,0,1
v1_baseline,0.9,0.9,0.95,0.9,0.9,NO_STRUCTURAL_CHANGE,1,0.9,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.0,2.168404344971009e-19,0.0038267584855551234,1,1.0,0.0,0.10700694927425604,0.11983724857976356,0.009231220084008987,0.11983724857976356,0.11983724857976356,0.11983724857976356,0,1
v1_baseline,0.9,0.9,0.95,0.9,0.9,WORLD_SHIFT,1,0.9,1000,0.896,0.8755402353777084,0.9134289719017319,0.0,2.168404344971009e-19,0.0038267584855551234,1,1.0,0.0,0.42891115297976873,0.4683501025691121,0.08912943344081067,0.4683501025691121,0.4683501025691121,0.468350102569112,0,1
v1_baseline,0.9,0.9,0.95,0.9,0.9,SENSOR_CORRUPTION,1,0.9,1000,0.884,0.8626667265227275,0.9023943229603661,0.0,2.168404344971009e-19,0.0038267584855551234,1,1.0,0.0,0.6267549886063567,0.7019038845386151,0.05406857477776692,0.7019038845386151,0.7019038845386151,0.7019038845386151,0,1
v1_baseline,0.9,0.9,0.95,0.9,0.9,MISSING_LATENT_VARIABLE,1,0.9,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.0,2.168404344971009e-19,0.0038267584855551234,1,1.0,0.0,0.42891115297976873,0.4683501025691121,0.08912943344081067,0.4683501025691121,0.4683501025691121,0.468350102569112,0,1
v1_baseline,0.9,0.9,0.95,0.9,0.9,NO_STRUCTURAL_CHANGE,1,0.95,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.0,2.168404344971009e-19,0.0038267584855551234,1,1.0,0.0,0.10700694927425604,0.11983724857976356,0.009231220084008987,0.11983724857976356,0.11983724857976356,0.11983724857976356,0,1
v1_baseline,0.9,0.9,0.95,0.9,0.9,WORLD_SHIFT,1,0.95,1000,0.896,0.8755402353777084,0.9134289719017319,0.0,2.168404344971009e-19,0.0038267584855551234,1,1.0,0.0,0.42891115297976873,0.4683501025691121,0.08912943344081067,0.4683501025691121,0.4683501025691121,0.468350102569112,0,1
v1_baseline,0.9,0.9,0.95,0.9,0.9,SENSOR_CORRUPTION,1,0.95,1000,0.884,0.8626667265227275,0.9023943229603661,0.0,2.168404344971009e-19,0.0038267584855551234,1,1.0,0.0,0.6267549886063567,0.7019038845386151,0.05406857477776692,0.7019038845386151,0.7019038845386151,0.7019038845386151,0,1
v1_baseline,0.9,0.9,0.95,0.9,0.9,MISSING_LATENT_VARIABLE,1,0.95,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.0,2.168404344971009e-19,0.0038267584855551234,1,1.0,0.0,0.42891115297976873,0.4683501025691121,0.08912943344081067,0.4683501025691121,0.4683501025691121,0.468350102569112,0,1
v1_baseline,0.9,0.9,0.95,0.9,0.9,NO_STRUCTURAL_CHANGE,2,0.8,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.0,2.168404344971009e-19,0.0038267584855551234,2,2.0,0.0,0.11849145379360697,0.14210106927989954,0.01633436507617478,0.14210106927989954,0.14210106927989954,0.14210106927989954,0.881,0.119
v1_baseline,0.9,0.9,0.95,0.9,0.9,WORLD_SHIFT,2,0.8,1000,0.858,0.8349940829788968,0.8782659579454458,0.0,2.168404344971009e-19,0.0038267584855551234,2,2.0,0.0,0.645448744651026,0.7836532613653642,0.13490975599951766,0.7836532613653642,0.7836532613653642,0.7836532613653642,0.142,0.858
v1_baseline,0.9,0.9,0.95,0.9,0.9,SENSOR_CORRUPTION,2,0.8,1000,0.787,0.7605503974702781,0.8112530431590133,0.787,0.7605503974702781,0.8112530431590133,2,2.0,0.0,0.6933194274877885,0.8323062629251259,0.08626083320662917,0.8323062629251259,0.8323062629251259,0.8323062629251259,0.808,0.192
