hypothesis,budget,threshold,episodes,map_accuracy,map_accuracy_ci_lower,map_accuracy_ci_upper,success_at_threshold,success_ci_lower,success_ci_upper,mean_experiments,median_experiments,stddev_experiments,mean_true_posterior,median_true_posterior,p10_true_posterior,p25_true_posterior,p75_true_posterior,p90_true_posterior,threshold_reached_fraction,budget_exhausted_fraction,cumulative_action_regret,mean_episode_action_regret,mean_action_regret,first_repeat_trial_frequency,first_use_trusted_sensor_frequency,first_change_context_frequency,overall_repeat_trial_frequency,overall_use_trusted_sensor_frequency,overall_change_context_frequency,mean_repeat_trials,mean_trusted_sensor_uses,mean_context_changes
NO_STRUCTURAL_CHANGE,5,0.9,100,0.82,0.7333264161369926,0.8829977450105364,0.73,0.6356788323205499,0.8073041585042365,3.26,3.0,0.6726068688320095,0.7242230727682027,0.9110565667203271,0.04702258234617529,0.5789389745147219,0.9110565667203271,0.9110565667203271,0.9,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.003067484662576687,0.4049079754601227,0.5920245398773006,0.01,1.32,1.93
WORLD_SHIFT,5,0.9,100,0.96,0.9016292856411208,0.9843366960084523,0.93,0.8625048526092651,0.9656807389327273,3.5,3.0,0.7681145747868608,0.924213634154599,0.9765818888044564,0.9164883644521099,0.9765818888044564,0.9765818888044564,0.9783102058602344,0.96,0.04,0.0,0.0,0.0,0.0,1.0,0.0,0.002857142857142857,0.7057142857142857,0.2914285714285714,0.01,2.47,1.02
SENSOR_CORRUPTION,5,0.9,100,0.92,0.8500189229905127,0.9589065385156194,0.91,0.837737871472837,0.9519274599974348,3.43,3.0,0.8155366331440912,0.853975859290855,0.9223025800530513,0.9019616965115601,0.9223025800530513,0.9223025800530513,0.9391628813987579,0.97,0.03,0.0,0.0,0.0,0.0,1.0,0.0,0.008746355685131196,0.6209912536443148,0.37026239067055394,0.03,2.13,1.27
MISSING_LATENT_VARIABLE,5,0.9,100,0.85,0.7671644040916763,0.9069401471634337,0.85,0.7671644040916763,0.9069401471634337,3.61,3.0,0.9153687781435415,0.8270586640926686,0.9418617646111187,0.24114150723652134,0.9337974683085676,0.9418617646111187,0.9418617646111187,0.91,0.09,0.0,0.0,0.0,0.0,1.0,0.0,0.036011080332409975,0.6426592797783933,0.32132963988919666,0.13,2.32,1.16
NO_STRUCTURAL_CHANGE,8,0.9,100,0.81,0.7222115462093562,0.8748524849023126,0.79,0.7002003116591013,0.858343459380847,3.49,3.0,1.3228378585450298,0.7460160222185948,0.9110565667203271,0.04702258234617529,0.9110565667203271,0.9110565667203271,0.9110565667203271,0.97,0.03,0.0,0.0,0.0,0.0,1.0,0.0,0.03151862464183381,0.3868194842406877,0.5816618911174785,0.11,1.35,2.03
WORLD_SHIFT,8,0.9,100,0.96,0.9016292856411208,0.9843366960084523,0.96,0.9016292856411208,0.9843366960084523,3.57,3.0,0.9721625378505386,0.9346849649780468,0.9765818888044564,0.9164883644521099,0.9765818888044564,0.9765818888044564,0.9783102058602344,0.99,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.008403361344537815,0.7058823529411765,0.2857142857142857,0.03,2.52,1.02
SENSOR_CORRUPTION,8,0.9,100,0.94,0.8752318455410406,0.9722138760368118,0.92,0.8500189229905127,0.9589065385156194,3.52,3.0,1.0998181667894016,0.8656055876118023,0.9223025800530513,0.9019616965115601,0.9223025800530513,0.9223025800530513,0.9391628813987579,0.98,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.022727272727272728,0.6079545454545454,0.3693181818181818,0.08,2.14,1.3
MISSING_LATENT_VARIABLE,8,0.9,100,0.92,0.8500189229905127,0.9589065385156194,0.92,0.8500189229905127,0.9589065385156194,3.82,3.0,1.3738995596476475,0.8671530144048787,0.9418617646111187,0.9045364083555689,0.9418617646111187,0.9418617646111187,0.9579235543596303,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.060209424083769635,0.6335078534031413,0.306282722513089,0.23,2.42,1.17
