candidate_id,is_v1_baseline,normal_process_accuracy,shift_process_accuracy,sensor_normal_accuracy,corrupted_sensor_inversion_accuracy,latent_process_accuracy,initial_no_change_posterior,overall_map_5,overall_map_8,no_change_map_5,no_change_map_8,world_shift_map_5,world_shift_map_8,sensor_corruption_map_5,sensor_corruption_map_8,missing_latent_map_5,missing_latent_map_8,worst_structural_map_5,worst_structural_map_8,false_structural_rate_5,false_structural_rate_8,missed_structural_rate_5,missed_structural_rate_8,mean_experiments_5,mean_experiments_8,max_hypothesis_map_3,design_targets_met,heuristic_score,identifiability_pass,identifiability_notes
v1_baseline,True,0.9,0.9,0.95,0.9,0.9,0.05223880597014926,0.8235,0.8915,0.493,0.704,0.947,0.96,0.93,0.948,0.924,0.954,0.924,0.948,0.507,0.296,0.002,0.003,3.83075,4.17375,0.897,5,8.1465,True,all intended distinctions preserved
n0.90_w0.90_h0.95_c0.85_l0.90,False,0.9,0.9,0.95,0.85,0.9,0.05303030303030303,0.82125,0.885,0.493,0.692,0.947,0.96,0.921,0.934,0.924,0.954,0.921,0.934,0.507,0.308,0.003,0.005333333333333333,3.84475,4.207,0.897,5,8.018833333333333,True,all intended distinctions preserved
n0.90_w0.85_h0.95_c0.90_l0.85,False,0.9,0.85,0.95,0.9,0.85,0.05405405405405405,0.79475,0.868,0.493,0.676,0.896,0.917,0.93,0.944,0.86,0.935,0.86,0.917,0.507,0.324,0.002,0.003,3.943,4.407,0.871,5,7.716000000000002,True,all intended distinctions preserved
